"","sample_id","institution","catalognumber","field.number","sex","ossification","notes","verbatimeventdate","stateprovince","verbatimlocality","decimallatitude","decimallongitude","scientificname","site","recordnumber","day.year","weight","Ltestislength","Ltestiswidth","Rtestislength","Rtestiswidth","total.testis.area","mtDNA","bill.width","bill.length","tarsus","wing","nape","back","rump","flanks","breast.underwing.coverts","male.total","throat.breast.side.of.neck","yellow","streaking","female.total","distance","passed.genomic.filtering","mac.lud.q","mac.mel.q"
"42","P_hybrid_44696","DMNS",44696,"GMS-2277","male","100","",39230,"South Dakota","SD; Lyman County; Oacoma 4mi NE",43.72639504,-99.47387606,"Pheucticus melanocephalus x Pheucticus ludovicianus",7,"GMS2277",148,44.3,6,5,9,6,84,1,10.48,13.25,19.97,99,1,0,1,2,2,6,NA,NA,NA,NA,378,TRUE,0.499079,0.500921
"47","P_hybrid_44703","DMNS",44703,"GMS-2284","male","100","",39232,"South Dakota","SD; Gregory County; Platte 20mi E",43.37684068,-99.14481486,"Pheucticus melanocephalus x Pheucticus ludovicianus",8,"GMS2284",150,53.8,12,7,11,8,172,1,10.96,12.9,21.96,101,2,2,2,2,3,11,NA,NA,NA,NA,425,TRUE,0.034655,0.965345
"51","P_hybrid_44707","DMNS",44707,"GMS-2288","male","100","",39233,"South Dakota","SD; Gregory County; Pickstown 20mi E",43.08797213,-98.76794505,"Pheucticus melanocephalus x Pheucticus ludovicianus",9,"GMS2288",151,47.3,11,10,9,9,191,0,10.64,12.77,21.56,99,0,0,0,0,0,0,NA,NA,NA,NA,467,TRUE,0.972111,0.027889
"52","P_hybrid_44708","DMNS",44708,"GMS-2289","male","100","",39233,"South Dakota","SD; Gregory County; Pickstown 20mi E",43.0861339,-98.7686001,"Pheucticus melanocephalus x Pheucticus ludovicianus",9,"GMS2289",151,43.4,13,8,11,8,192,0,10.29,12.48,20.25,94,1,0,0,0,0,1,NA,NA,NA,NA,467,TRUE,0.939253,0.060747
"53","P_hybrid_44709","DMNS",44709,"GMS-2290","male","100","",39233,"South Dakota","SD; Charles Mix County; Pickstown 1mi W",43.05214729,-98.53837981,"Pheucticus melanocephalus x Pheucticus ludovicianus",10,"GMS2290",151,41.8,12,9,10,7,178,0,9.12,12.18,20.94,99,1,1,1,1,0,4,NA,NA,NA,NA,486,TRUE,0.972056,0.027944
"56","P_hybrid_44712","DMNS",44712,"GMS-2293","male","100","",39234,"South Dakota","SD; Charles Mix County; Greenwood 1.5mi ESE",42.9651744,-98.45587883,"Pheucticus melanocephalus x Pheucticus ludovicianus",10,"GMS2293",152,42.9,10,7,8,7,126,0,9.22,11.18,22.09,97,0,1,1,1,2,5,NA,NA,NA,NA,500,TRUE,0.99999,1e-05
"99","P_hybrid_44762","DMNS",44762,"GMS-2347","male","100","",39237,"South Dakota","SD; Gregory County; Platte 20mi E",43.37873968,-99.16284291,"Pheucticus melanocephalus x Pheucticus ludovicianus",8,"GMS2347",155,49.9,12,8,12,12,240,1,9.93,13.41,21.4,96,2,2,2,2,3,11,NA,NA,NA,NA,425,TRUE,0.129514,0.870486
"107","P_hybrid_44771","DMNS",44771,"GMS-2356","male","100","",39238,"South Dakota","SD; Lyman County; Oacoma 6mi N",43.70913813,-99.43407476,"Pheucticus melanocephalus x Pheucticus ludovicianus",7,"GMS2356",156,49.4,11,8,10,8,168,0,11.56,13.49,22.36,104,1,1,2,1,1,6,NA,NA,NA,NA,378,TRUE,0.491159,0.508841
"117","P_hybrid_44781","DMNS",44781,"GMS-2366","male","100","",39243,"South Dakota","SD; Jones County; Murdo 11mi N",43.72568191,-100.7010045,"Pheucticus melanocephalus x Pheucticus ludovicianus",4,"GMS2366",161,47.5,11,7,10,9,167,1,11.56,12.8,21.52,102,2,2,2,2,4,12,NA,NA,NA,NA,277,TRUE,0.008917,0.991083
"93","P_hybrid_45171","DMNS",45171,"GMS-2341B","male","100","",39237,"South Dakota","SD; Charles Mix County; Pickstown 20mi ESE",43.16585694,-98.81456536,"Pheucticus melanocephalus x Pheucticus ludovicianus",9,"GMS2341B",155,44.8,12,10,10,9,210,0,10.33,12.9,19.96,101,1,1,1,1,1,5,NA,NA,NA,NA,460,TRUE,0.718746,0.281254
"94","P_hybrid_45173","DMNS",45173,"GMS-2342B","male","100","",39237,"South Dakota","SD; Gregory County; Platte 20mi E",43.3760962,-99.16713042,"Pheucticus melanocephalus x Pheucticus ludovicianus",8,"GMS2342B",155,51.5,14,9,11,9,225,1,10.48,13.66,20.25,102,2,2,2,2,3,11,NA,NA,NA,NA,425,TRUE,0.203175,0.796825
